1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Vitor Gabriel Vieira,21,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Franca,SP,"R$ 2.170,60","R$ 434,12",Ônibus,Diesel,4512,Mensal,Localização,Não influencia minhas escolhas,Combustível com qualidade,Mais segurança nos postos de abastecimento,Muito Bom,Controle de abastecimentos,Diária,Mais funcionalidades
Kaique da Rocha,37,Outros,Indígena,Sim,Casado(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 2.591,92","R$ 647,98",Ônibus,Diesel,4168,Semanal,Combustível com qualidade,Fator de decisão,Descontos e promoções,Mais segurança nos postos de abastecimento,Regular,Controle de abastecimentos,Mensal,Mais funcionalidades
Daniel Peixoto,63,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Goiânia,GO,"R$ 2.127,75","R$ 425,55",Moto,Gasolina,3967,Semanal,Combustível com qualidade,Não considero relevante,Preços,Mais segurança nos postos de abastecimento,Muito Bom,Controle de abastecimentos,Diária,Mais funcionalidades
Renan Costa,65,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Caxias do Sul,RS,"R$ 3.997,18","R$ 1.099,22",Ônibus,Diesel,3934,Diária,Combustível com qualidade,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Diária,Mais funcionalidades
Thiago Rezende,48,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 5.922,43","R$ 1.125,26",Ônibus,Diesel,2825,Semanal,Localização,Fator de decisão,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Bom,Controle de abastecimentos,Eventual,Mais funcionalidades
Melissa da Mota,18,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Completo,Florianópolis,SC,"R$ 2.850,22","R$ 712,56",Caminhonete,Diesel,1614,Mensal,Localização,Influencia minhas escolhas,Descontos e promoções,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Eventual,Mais funcionalidades
Yago Martins,31,Masculino Transgênero,Preto(a),Não,Solteiro(a),Ensino Médio Incompleto,Salvador,BA,"R$ 4.349,21","R$ 869,84",Carro,GNV,2116,Semanal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Eventual,Mais funcionalidades
Alícia Lima,21,Outros,Preto(a),Sim,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 4.636,85","R$ 927,37",Caminhão,Diesel,2841,Mensal,Preço,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Mensal,Mais funcionalidades
Isabella Farias,56,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 5.718,68","R$ 1.086,55",Caminhão,Diesel,1615,Quinzenal,Preço,Não influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Semanal,Mais funcionalidades
Ana Júlia Alves,47,Feminino Cisgênero,Preto(a),Sim,Casado(a),Pós-graduação,Londrina,PR,"R$ 4.211,41","R$ 842,28",Carro,GNV,4684,Diária,Localização,Influencia minhas escolhas,Serviços adicionais,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Mensal,Mais funcionalidades
Rodrigo Lopes,52,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Incompleto,Maringá,PR,"R$ 2.232,65","R$ 446,53",Ônibus,Diesel,3441,Mensal,Serviços adicionais,Não influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Ruim,Controle de abastecimentos,Mensal,Mais funcionalidades
Lucas Gabriel Araújo,58,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Básico Completo,Franca,SP,"R$ 1.425,94","R$ 285,19",Ônibus,Diesel,4182,Quinzenal,Localização,Não influencia minhas escolhas,Lojas de Conveniência,Mais vantagens com o programa de fidelidade,Excelente,Controle de abastecimentos,Semanal,Mais funcionalidades
Ana Beatriz Silveira,42,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Porto Velho,RO,"R$ 3.386,85","R$ 931,38",Carro,Álcool,4169,Quinzenal,Combustível com qualidade,Influencia minhas escolhas,Serviços adicionais,Mais vantagens com o programa de fidelidade,Bom,Controle de abastecimentos,Quinzenal,Mais funcionalidades
João Guilherme Fernandes,39,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Vila Velha,ES,"R$ 5.777,45","R$ 1.097,72",Caminhão,Diesel,2219,Diária,Combustível com qualidade,Não considero relevante,Preços,Mais vantagens com o programa de fidelidade,Regular,Controle de abastecimentos,Diária,Mais funcionalidades
Lorenzo Ferreira,73,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Fortaleza,CE,"R$ 3.437,75","R$ 945,38",Carro,GNV,849,Mensal,Preço,Não considero relevante,Preços,Melhorias na qualidade do atendimento,Regular,Controle de abastecimentos,Diária,Mais funcionalidades
Alexandre Barbosa,40,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Incompleto,São José do Campos,SP,"R$ 5.259,89","R$ 999,38",Moto,Gasolina,2734,Mensal,Localização,Não influencia minhas escolhas,Serviços adicionais,Melhorias na qualidade do atendimento,Excelente,Controle de abastecimentos,Eventual,Mais funcionalidades
Luiz Fernando Gonçalves,64,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 5.568,93","R$ 1.058,10",Ônibus,Diesel,776,Quinzenal,Serviços adicionais,Não influencia minhas escolhas,Serviços adicionais,Melhorias na qualidade do atendimento,Excelente,Controle de abastecimentos,Mensal,Mais funcionalidades
Emanuel Ramos,36,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Caxias do Sul,RS,"R$ 3.278,79","R$ 901,67",Moto,Gasolina,528,Quinzenal,Serviços adicionais,Não considero relevante,Combustível com qualidade,Melhorias na qualidade do atendimento,Ruim,Controle de abastecimentos,Eventual,Mais funcionalidades
Luna Costa,72,Feminino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 4.335,52","R$ 867,10",Ônibus,Diesel,669,Semanal,Localização,Influencia minhas escolhas,Serviços adicionais,Melhorias na qualidade do atendimento,Ruim,Controle de abastecimentos,Diária,Mais funcionalidades
Lavínia Azevedo,40,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Incompleto,Recife,PE,"R$ 2.467,67","R$ 493,53",Carro,Gasolina,23,Mensal,Preço,Fator de decisão,Banco24h,Mais opções de pagamento,Ruim,Consórcio,Mensal,Mais funcionalidades
Marcela da Cruz,39,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Médio Incompleto,São Bernardo do Campo,SP,"R$ 4.918,32","R$ 934,48",Caminhão,Diesel,1059,Quinzenal,Combustível com qualidade,Não considero relevante,Localização,Mais opções de pagamento,Regular,Consórcio,Eventual,Mais funcionalidades
Pedro Lucas Castro,25,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 3.995,44","R$ 1.098,75",Ônibus,Diesel,1140,Diária,Localização,Influencia minhas escolhas,Localização,Mais opções de pagamento,Ruim,Consórcio,Mensal,Mais funcionalidades
Valentina Costela,35,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Incompleto,São João de Meriti,RJ,"R$ 2.259,41","R$ 451,88",Carro,Gasolina,1273,Diária,Combustível com qualidade,Fator de decisão,Banco24h,Mais opções de produtos nas lojas de conveniência,Bom,Consórcio,Mensal,Mais funcionalidades
Isabel Cavalcanti,46,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Nova Iguaçu,RJ,"R$ 5.033,32","R$ 956,33",Ônibus,Diesel,1538,Semanal,Serviços adicionais,Não considero relevante,Localização,Mais segurança nas lojas de conveniência,Excelente,Consórcio,Diária,Mais funcionalidades
Danilo Caldeira,60,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Básico Incompleto,Contagem,MG,"R$ 1.942,98","R$ 388,60",Ônibus,Diesel,2479,Semanal,Serviços adicionais,Influencia minhas escolhas,Lojas de Conveniência,Mais segurança nos postos de abastecimento,Bom,Consórcio,Quinzenal,Mais funcionalidades
Lívia Lima,68,Feminino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Incompleto,Goiânia,GO,"R$ 3.688,30","R$ 1.014,28",Moto,Gasolina,1197,Diária,Localização,Fator de decisão,Localização,Mais vantagens com o programa de fidelidade,Excelente,Consórcio,Semanal,Mais funcionalidades
Vinicius Dias,69,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 5.791,08","R$ 1.100,31",Ônibus,Diesel,535,Diária,Serviços adicionais,Influencia minhas escolhas,Localização,Melhorias na qualidade do atendimento,Bom,Consórcio,Quinzenal,Mais funcionalidades
Sabrina Moreira,40,Feminino Transgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Santos,SP,"R$ 5.702,62","R$ 1.083,50",Ônibus,Diesel,1484,Diária,Localização,Não considero relevante,Serviços adicionais,Mais opções de pagamento,Bom,Consultas e parcelamentos de débitos de veículo,Eventual,Mais funcionalidades
Rafael Campos,52,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.297,35","R$ 1.133,52",Ônibus,Diesel,4447,Semanal,Preço,Fator de decisão,Serviços adicionais,Mais opções de pagamento,Ruim,Consultas e parcelamentos de débitos de veículo,Mensal,Mais funcionalidades
Gabriel Nogueira,21,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Florianópolis,SC,"R$ 6.075,04","R$ 1.093,51",Caminhão,Diesel,3445,Semanal,Combustível com qualidade,Fator de decisão,Serviços adicionais,Mais segurança nas lojas de conveniência,Muito Bom,Consultas e parcelamentos de débitos de veículo,Diária,Mais funcionalidades
Danilo da Conceição,44,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Completo,São José do Campos,SP,"R$ 1.544,33","R$ 308,87",Moto,Gasolina,1916,Semanal,Serviços adicionais,Influencia minhas escolhas,Descontos e promoções,Mais vantagens com o programa de fidelidade,Regular,Consultas e parcelamentos de débitos de veículo,Diária,Mais funcionalidades
André Duarte,70,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Natal,RN,"R$ 4.620,34","R$ 924,07",Caminhão,Diesel,853,Eventual,Localização,Não considero relevante,Serviços adicionais,Mais vantagens com o programa de fidelidade,Ruim,Consultas e parcelamentos de débitos de veículo,Mensal,Mais funcionalidades
Agatha Vieira,58,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Maceió,AL,"R$ 6.275,82","R$ 1.129,65",Moto,Gasolina,4417,Quinzenal,Serviços adicionais,Influencia minhas escolhas,Serviços adicionais,Mais vantagens com o programa de fidelidade,Regular,Consultas e parcelamentos de débitos de veículo,Diária,Mais funcionalidades
Augusto Fogaça,46,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Maringá,PR,"R$ 2.456,90","R$ 491,38",Carro,Álcool,4054,Diária,Serviços adicionais,Influencia minhas escolhas,Descontos e promoções,Mais vantagens com o programa de fidelidade,Ruim,Consultas e parcelamentos de débitos de veículo,Semanal,Mais funcionalidades
João Vitor Costela,18,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,São Bernardo do Campo,SP,"R$ 3.126,55","R$ 859,80",Carro,Álcool,2728,Mensal,Preço,Influencia minhas escolhas,Serviços adicionais,Mais opções de produtos nas lojas de conveniência,Ruim,Recarga de celular,Mensal,Mais funcionalidades
Maria Eduarda Nascimento,64,Feminino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Maringá,PR,"R$ 3.649,90","R$ 1.003,72",Ônibus,Diesel,624,Mensal,Preço,Fator de decisão,Serviços adicionais,Mais vantagens com o programa de fidelidade,Excelente,Recarga de celular,Mensal,Mais funcionalidades
Maria Vitória das Neves,78,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Minas Gerais,MG,"R$ 6.445,33","R$ 1.160,16",Ônibus,Diesel,2836,Mensal,Serviços adicionais,Não influencia minhas escolhas,Serviços adicionais,Mais vantagens com o programa de fidelidade,Bom,Recarga de celular,Quinzenal,Mais funcionalidades
Ana Julia Nunes,32,Feminino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Curitiba,PR,"R$ 5.423,84","R$ 1.030,53",Carro,Gasolina,3503,Mensal,Combustível com qualidade,Não considero relevante,Serviços adicionais,Melhorias na qualidade do atendimento,Ruim,Recarga de celular,Diária,Mais funcionalidades
Pedro Miguel Ramos,28,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Pós-graduação,Duque de Caxias,RJ,"R$ 6.356,59","R$ 1.144,19",Caminhão,Diesel,4961,Mensal,Localização,Não considero relevante,Preços,Mais acessibilidade para PCDs,Excelente,Canal de atendimento,Diária,Mais funcionalidades
Ana Luiza Barbosa,49,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Completo,Caxias do Sul,RS,"R$ 5.247,47","R$ 997,02",Ônibus,Diesel,4915,Mensal,Combustível com qualidade,Não considero relevante,Preços,Mais opções de pagamento,Ruim,Canal de atendimento,Semanal,Mais funcionalidades
Diego Castro,36,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Uberlândia,MG,"R$ 2.783,27","R$ 695,82",Caminhão,Diesel,1062,Quinzenal,Combustível com qualidade,Não considero relevante,Banco24h,Mais opções de produtos nas lojas de conveniência,Excelente,Facilidade de uso,Diária,Mais funcionalidades
Enzo Costa,32,Masculino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.663,34","R$ 332,67",Carro,Gasolina,2414,Quinzenal,Serviços adicionais,Não influencia minhas escolhas,Preços,Mais opções de produtos nas lojas de conveniência,Regular,Facilidade de uso,Diária,Mais funcionalidades
Luna Monteiro,67,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Recife,PE,"R$ 4.781,93","R$ 908,57",Caminhonete,Diesel,174,Quinzenal,Combustível com qualidade,Não considero relevante,Localização,Mais segurança nas lojas de conveniência,Excelente,Facilidade de uso,Diária,Mais funcionalidades
Sophia Azevedo,23,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Santa Maria,MS,"R$ 6.371,46","R$ 1.146,86",Carro,Álcool,1311,Mensal,Preço,Não considero relevante,Localização,Mais segurança nas lojas de conveniência,Regular,Facilidade de uso,Diária,Mais funcionalidades
João Pedro Cunha,26,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 2.059,37","R$ 411,87",Carro,Gasolina,1332,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais segurança nos postos de abastecimento,Regular,Facilidade de uso,Mensal,Mais funcionalidades
Lavínia da Luz,37,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,AL,"R$ 1.800,34","R$ 360,07",Caminhonete,Diesel,2968,Semanal,Combustível com qualidade,Fator de decisão,Lojas de Conveniência,Mais segurança nos postos de abastecimento,Ruim,Facilidade de uso,Eventual,Mais funcionalidades
Natália Pires,36,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Londrina,PR,"R$ 3.741,46","R$ 1.028,90",Moto,Gasolina,4115,Semanal,Combustível com qualidade,Fator de decisão,Preços,Mais vantagens com o programa de fidelidade,Regular,Facilidade de uso,Mensal,Mais funcionalidades
Sophia Costa,22,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Básico Incompleto,Fortaleza,CE,"R$ 1.923,54","R$ 384,71",Moto,Gasolina,3650,Quinzenal,Combustível com qualidade,Não influencia minhas escolhas,Lojas de Conveniência,Mais vantagens com o programa de fidelidade,Bom,Facilidade de uso,Quinzenal,Mais funcionalidades
Guilherme Costa,73,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Incompleto,Caruaru,PE,"R$ 3.625,37","R$ 996,98",Caminhonete,Diesel,2500,Semanal,Serviços adicionais,Não influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Ruim,Facilidade de uso,Eventual,Mais funcionalidades
Calebe Rocha,77,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Bauru,SP,"R$ 1.819,20","R$ 363,84",Carro,GNV,191,Mensal,Serviços adicionais,Não considero relevante,Preços,Mais vantagens com o programa de fidelidade,Regular,Facilidade de uso,Mensal,Mais funcionalidades
Caio Viana,32,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Incompleto,Piracicaba,SP,"R$ 3.305,32","R$ 908,96",Caminhão,Diesel,4860,Diária,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Ruim,Facilidade de uso,Semanal,Mais funcionalidades
Lavínia da Paz,63,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 4.662,51","R$ 932,50",Caminhonete,Diesel,169,Quinzenal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Excelente,Facilidade de uso,Eventual,Mais funcionalidades
Emilly Rodrigues,26,Feminino Transgênero,Amarelo(a),Não,Solteiro(a),Pós-graduação,Montes Claros,MG,"R$ 6.073,49","R$ 1.093,23",Carro,Álcool,4622,Quinzenal,Combustível com qualidade,Fator de decisão,Preços,Melhorias na qualidade do atendimento,Ruim,Facilidade de uso,Mensal,Mais funcionalidades
Joaquim Melo,25,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,São José do Campos,SP,"R$ 2.580,17","R$ 645,04",Ônibus,Diesel,2588,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,Acessibilidade,Semanal,Mais funcionalidades
Ana Lívia Fogaça,37,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Básico Completo,Piracicaba,SP,"R$ 2.708,81","R$ 677,20",Moto,Gasolina,3741,Semanal,Localização,Não influencia minhas escolhas,Acessibilidade,Mais opções de pagamento,Regular,Acessibilidade,Eventual,Mais funcionalidades
Caio Duarte,59,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Taubaté ,SP,"R$ 1.676,87","R$ 335,37",Ônibus,Diesel,3788,Semanal,Serviços adicionais,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Ruim,Acessibilidade,Mensal,Mais funcionalidades
Thiago Nunes,73,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,São Bernardo do Campo,SP,"R$ 4.451,89","R$ 890,38",Caminhão,Diesel,2346,Mensal,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Ruim,Acessibilidade,Semanal,Mais funcionalidades
Amanda Porto,57,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 3.157,73","R$ 868,38",Caminhão,Diesel,3165,Semanal,Preço,Não considero relevante,Preços,Mais opções de pagamento,Bom,Acessibilidade,Eventual,Mais funcionalidades
Erick Cardoso,21,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 6.503,68","R$ 1.170,66",Ônibus,Diesel,2192,Semanal,Localização,Influencia minhas escolhas,Preços,Mais opções de pagamento,Ruim,Acessibilidade,Eventual,Mais funcionalidades
João Gabriel Cavalcanti,23,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Santa Maria,MS,"R$ 3.438,28","R$ 945,53",Ônibus,Diesel,1313,Semanal,Serviços adicionais,Fator de decisão,Serviços adicionais,Mais opções de pagamento,Muito Bom,Acessibilidade,Diária,Mais funcionalidades
Rafael da Luz,21,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,RJ,"R$ 2.395,18","R$ 479,04",Caminhonete,Diesel,2705,Mensal,Preço,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Excelente,Acessibilidade,Mensal,Mais funcionalidades
Theo da Cunha,69,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Básico Completo,Curitiba,PR,"R$ 1.719,15","R$ 343,83",Caminhão,Diesel,4141,Mensal,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Ruim,Acessibilidade,Diária,Mais funcionalidades
Erick Jesus,21,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Básico Completo,Salvador,BA,"R$ 2.822,50","R$ 705,63",Moto,Gasolina,2915,Diária,Serviços adicionais,Fator de decisão,Preços,Mais opções de produtos nas lojas de conveniência,Regular,Acessibilidade,Mensal,Mais funcionalidades
Vinicius Peixoto,69,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Campinas,SP,"R$ 5.760,37","R$ 1.094,47",Ônibus,Diesel,4995,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais segurança nas lojas de conveniência,Ruim,Acessibilidade,Semanal,Mais funcionalidades
Ana Clara Monteiro,67,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,Caruaru,PE,"R$ 1.925,59","R$ 385,12",Moto,Gasolina,4408,Mensal,Combustível com qualidade,Fator de decisão,Combustível com qualidade,Mais segurança nos postos de abastecimento,Excelente,Acessibilidade,Diária,Mais funcionalidades
Lavínia Barros,69,Feminino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Incompleto,Maceió,AL,"R$ 4.369,64","R$ 873,93",Caminhão,Diesel,1998,Semanal,Localização,Não considero relevante,Preços,Melhorias na qualidade do atendimento,Ruim,Acessibilidade,Semanal,Mais funcionalidades
Eduardo Nogueira,39,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Governador Valadares,MG,"R$ 5.115,23","R$ 971,89",Carro,GNV,3059,Diária,Serviços adicionais,Não influencia minhas escolhas,Serviços adicionais,Melhorias na qualidade do atendimento,Bom,Acessibilidade,Quinzenal,Mais funcionalidades
Levi Fernandes,44,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 5.973,79","R$ 1.135,02",Carro,Álcool,849,Semanal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Melhorias na qualidade do atendimento,Bom,Acessibilidade,Eventual,Mais funcionalidades
Anthony da Rosa,43,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 3.613,90","R$ 993,82",Ônibus,Diesel,2891,Quinzenal,Serviços adicionais,Não influencia minhas escolhas,Serviços adicionais,Melhorias na qualidade do atendimento,Ruim,Acessibilidade,Mensal,Mais funcionalidades
Melissa Monteiro,44,Feminino Cisgênero,Amarelo(a),Sim,Viúvo(a),Ensino Superior Incompleto,Contagem,MG,"R$ 6.790,32","R$ 1.222,26",Moto,Gasolina,4335,Semanal,Preço,Não considero relevante,Combustível com qualidade,Mais acessibilidade para PCDs,Bom,Acessibilidade,Eventual,Ofertas exclusivas
Melissa Rocha,75,Feminino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Superior Completo,Salvador,BA,"R$ 8.933,10","R$ 1.518,63",Caminhonete,Diesel,1862,Diária,Preço,Não influencia minhas escolhas,Combustível com qualidade,Mais acessibilidade para PCDs,Excelente,Acessibilidade,Diária,Ofertas exclusivas
Mariane Aragão,59,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Salvador,BA,"R$ 7.101,26","R$ 1.242,72",Caminhão,Diesel,1802,Quinzenal,Combustível com qualidade,Fator de decisão,Combustível com qualidade,Mais opções de pagamento,Regular,Carteira Digital (diversas opções de pagamento),Mensal,Ofertas exclusivas
Breno da Mata,40,Outros,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Manaus,AM,"R$ 9.636,01","R$ 1.638,12",Carro,Diesel,2324,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Bom,Carteira Digital (diversas opções de pagamento),Quinzenal,Ofertas exclusivas
Olivia Barros,48,Feminino Cisgênero,Indígena,Sim,Solteiro(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 8.816,09","R$ 1.498,74",Caminhão,Diesel,4723,Semanal,Localização,Influencia minhas escolhas,Localização,Mais opções de pagamento,Excelente,Carteira Digital (diversas opções de pagamento),Diária,Ofertas exclusivas
Maria Fernanda Oliveira,63,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Minas Gerais,MG,"R$ 7.252,17","R$ 1.269,13",Moto,Gasolina,1285,Semanal,Preço,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,Carteira Digital (diversas opções de pagamento),Semanal,Ofertas exclusivas
Benício Cardoso,40,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Superior Completo,Santos,SP,"R$ 7.637,21","R$ 1.336,51",Moto,Gasolina,737,Mensal,Serviços adicionais,Influencia minhas escolhas,Preços,Mais opções de pagamento,Regular,Carteira Digital (diversas opções de pagamento),Mensal,Ofertas exclusivas
Renan Rodrigues,48,Masculino Cisgênero,Pardo(a),Não,Casado(a),Mestrado,Maceió,AL,"R$ 8.389,73","R$ 1.426,25",Ônibus,Diesel,130,Diária,Localização,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Ofertas exclusivas
Pedro da Cruz,68,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Fortaleza,CE,"R$ 6.902,39","R$ 1.242,43",Caminhão,Diesel,3921,Semanal,Combustível com qualidade,Influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Ofertas exclusivas
Isis Moura,67,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Pós-graduação,Belém do Pará,PA,"R$ 6.722,36","R$ 1.210,02",Moto,Gasolina,1784,Mensal,Serviços adicionais,Não considero relevante,Serviços adicionais,Mais opções de pagamento,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Ofertas exclusivas
Isabelly Ferreira,33,Feminino Transgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,São Bernardo do Campo,SP,"R$ 7.273,82","R$ 1.272,92",Ônibus,Diesel,3312,Quinzenal,Preço,Não considero relevante,Combustível com qualidade,Mais opções de pagamento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Ofertas exclusivas
Diogo Vieira,54,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,São José do Campos,SP,"R$ 9.086,50","R$ 1.544,71",Caminhão,Diesel,1863,Semanal,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Muito Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Ofertas exclusivas
