1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Dr. Calebe Oliveira,Feminino,67,Ribeiro de Oliveira,SC,Solteiro(a),Ensino Médio Incompleto,"R$ 1.807,34",Carro,GNV,3080,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Diariamente,Indicação,Excelente
Isadora Cavalcanti,Feminino,66,Cavalcanti Alegre,MG,Solteiro(a),Ensino Superior Completo,"R$ 1.906,66",Caminhão,Diesel,4670,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Serviços Oferecidos,Diariamente,Indicação,Excelente
Sra. Olivia Barros,Masculino,77,Araújo das Pedras,PR,Viúvo(a),Ensino Médio Incompleto,"R$ 5.181,67",Carro,Gasolina,3106,Design do aplicativo,Segurança,Qualidade do combustível,Postos mais modernos,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Diariamente,Indicação,Bom
Ana Lívia Gonçalves,Masculino,29,Silveira Grande,PR,Casado(a),Ensino Superior Completo,"R$ 9.817,18",Carro,GNV,4195,Ofertas mais atraentes,Combustível de qualidade,Preço,Programa de fidelidade,Não considero importante,Mensalmente,Qualidade Combustível,Mensalmente,Economia,Ótimo
Ana Clara Nunes,Feminino,47,Cardoso,MG,Solteiro(a),Ensino Médio Completo,"R$ 4.971,36",Caminhão,Diesel,3090,Ofertas mais atraentes,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Não considero importante,Raramente,Serviços Oferecidos,Raramente,Economia,Bom
Alice Oliveira,Feminino,30,Nogueira de Ramos,PA,Solteiro(a),Ensino Médio Completo,"R$ 5.965,84",Caminhão,Diesel,1085,Mais funcionalidades,Combustível de qualidade,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Serviços Oferecidos,Mensalmente,Ambiental,Ótimo
Danilo Moraes,Feminino,43,Rocha da Prata,PB,Casado(a),Ensino Médio Incompleto,"R$ 4.661,56",Moto,Gasolina,3144,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Formas de Pagamento,Mensalmente,Vantagens,Bom
Lucas Nogueira,Masculino,35,da Paz do Norte,PI,Solteiro(a),Ensino Superior Completo,"R$ 5.486,10",Moto,Gasolina,3372,Maior facilidade de uso,Segurança,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Preço,Raramente,Facilidade,Ruim
André Martins,Masculino,70,Campos,AC,Solteiro(a),Ensino Superior Incompleto,"R$ 9.330,25",Moto,Gasolina,2324,Ofertas mais atraentes,Combustível de qualidade,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Raramente,Promoções e Descontos,Semanalmente,Indicação,Ótimo
João Pedro Alves,Feminino,50,Fernandes das Pedras,RJ,Viúvo(a),Ensino Superior Incompleto,"R$ 7.775,76",Moto,Gasolina,1069,Maior facilidade de uso,Limpeza e organização,Localização,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Qualidade Combustível,Raramente,Indicação,Bom
Heitor Alves,Feminino,64,Farias,SE,Viúvo(a),Ensino Médio Incompleto,"R$ 4.467,08",Ônibus,Diesel,3050,Maior facilidade de uso,Combustível de qualidade,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Diariamente,Formas de Pagamento,Semanalmente,Indicação,Excelente
Gustavo Vieira,Masculino,63,Cunha,RS,Divorciado(a),Ensino Médio Incompleto,"R$ 5.626,23",Carro,Álcool,307,Ofertas mais atraentes,Combustível de qualidade,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Semanalmente,Facilidade,Bom
Bianca Pires,Feminino,53,Gomes de da Paz,MS,Solteiro(a),Ensino Médio Incompleto,"R$ 3.703,97",Moto,Gasolina,4070,Ofertas mais atraentes,Atendimento ao cliente,Preço,Postos mais modernos,Importante e influencia minha escolha,Semanalmente,Qualidade Combustível,Mensalmente,Economia,Excelente
Joaquim Castro,Masculino,42,Carvalho,PB,Casado(a),Ensino Superior Completo,"R$ 2.446,37",Moto,Gasolina,4951,Design do aplicativo,Limpeza e organização,Localização,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Serviços Oferecidos,Diariamente,Economia,Excelente
Samuel Porto,Feminino,75,Cardoso,RS,Divorciado(a),Ensino Superior Incompleto,"R$ 3.748,26",Carro,Álcool,3148,Maior facilidade de uso,Segurança,Serviços adicionais,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Qualidade Combustível,Semanalmente,Indicação,Bom
Dr. Bernardo Martins,Masculino,31,das Neves Verde,RO,Casado(a),Ensino Superior Completo,"R$ 5.906,08",Ônibus,Diesel,1159,Ofertas mais atraentes,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Preço,Mensalmente,Facilidade,Ótimo
Milena Barros,Feminino,27,Gonçalves,MS,Divorciado(a),Ensino Superior Completo,"R$ 2.757,55",Caminhão,Diesel,2096,Ofertas mais atraentes,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Mensalmente,Formas de Pagamento,Mensalmente,Vantagens,Ótimo
Stephany Costa,Masculino,80,Fogaça,PE,Viúvo(a),Ensino Superior Incompleto,"R$ 2.808,31",Carro,GNV,610,Mais funcionalidades,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Mensalmente,Ambiental,Ruim
Lorena Souza,Feminino,54,da Conceição de Teixeira,SP,Viúvo(a),Pós-graduação,"R$ 1.654,25",Ônibus,Diesel,3829,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Raramente,Preço,Mensalmente,Facilidade,Ótimo
Ana Lívia Costa,Masculino,70,Ferreira de Aragão,MS,Solteiro(a),Ensino Superior Incompleto,"R$ 3.776,80",Caminhão,Diesel,1193,Mais funcionalidades,Segurança,Localização,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Formas de Pagamento,Mensalmente,Ambiental,Ruim
Yuri Cardoso,Masculino,78,Peixoto,SC,Casado(a),Ensino Superior Completo,"R$ 8.001,88",Moto,Gasolina,137,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Programa de fidelidade,Não considero importante,Diariamente,Qualidade Combustível,Raramente,Indicação,Bom
Letícia das Neves,Feminino,75,Santos Alegre,MG,Divorciado(a),Pós-graduação,"R$ 6.396,68",Ônibus,Diesel,280,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Importante e influencia minha escolha,Mensalmente,Serviços Oferecidos,Mensalmente,Economia,Bom
Srta. Mariane Barros,Feminino,29,Vieira do Campo,PA,Viúvo(a),Pós-graduação,"R$ 3.422,53",Caminhão,Diesel,1454,Maior facilidade de uso,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Raramente,Preço,Semanalmente,Indicação,Ruim
Lorena da Mota,Feminino,37,Jesus,RR,Casado(a),Pós-graduação,"R$ 3.389,64",Caminhão,Diesel,551,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,Importante e influencia minha escolha,Diariamente,Localização,Semanalmente,Ambiental,Ótimo
João Melo,Feminino,49,Carvalho da Praia,AP,Divorciado(a),Pós-graduação,"R$ 7.421,66",Ônibus,Diesel,668,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Postos mais modernos,Importante e influencia minha escolha,Raramente,Localização,Semanalmente,Facilidade,Excelente
Rodrigo Freitas,Feminino,67,Barbosa,ES,Viúvo(a),Ensino Superior Completo,"R$ 5.437,23",Ônibus,Diesel,3581,Design do aplicativo,Atendimento ao cliente,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Formas de Pagamento,Semanalmente,Vantagens,Ruim
Sophia Rocha,Masculino,19,Martins da Serra,SE,Casado(a),Ensino Superior Incompleto,"R$ 7.793,28",Ônibus,Diesel,2023,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Serviços Oferecidos,Mensalmente,Facilidade,Ótimo
Diego da Cruz,Masculino,62,Pinto de Goiás,AL,Viúvo(a),Ensino Superior Completo,"R$ 8.798,72",Caminhão,Diesel,3674,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Formas de Pagamento,Diariamente,Ambiental,Bom
Henrique da Cruz,Masculino,46,Costela,PR,Divorciado(a),Ensino Médio Completo,"R$ 8.850,61",Moto,Gasolina,4241,Mais funcionalidades,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Promoções e Descontos,Raramente,Ambiental,Bom
Melissa Peixoto,Feminino,59,Jesus,PI,Viúvo(a),Ensino Superior Incompleto,"R$ 9.130,93",Carro,GNV,4813,Ofertas mais atraentes,Segurança,Qualidade do combustível,Mais opções de pagamento,Não considero importante,Mensalmente,Promoções e Descontos,Diariamente,Facilidade,Bom
Diogo Barros,Masculino,80,da Rosa dos Dourados,CE,Divorciado(a),Ensino Superior Incompleto,"R$ 6.906,35",Caminhão,Diesel,2469,Maior facilidade de uso,Limpeza e organização,Localização,Postos mais modernos,Importante e influencia minha escolha,Mensalmente,Localização,Semanalmente,Vantagens,Ruim
Luiza Monteiro,Masculino,30,Costela,PE,Solteiro(a),Ensino Médio Completo,"R$ 3.878,74",Caminhão,Diesel,2670,Ofertas mais atraentes,Limpeza e organização,Preço,Programa de fidelidade,Não considero importante,Diariamente,Preço,Semanalmente,Vantagens,Bom
João Vitor Cunha,Masculino,32,Duarte,PB,Viúvo(a),Ensino Superior Completo,"R$ 5.755,70",Ônibus,Diesel,780,Design do aplicativo,Combustível de qualidade,Preço,Postos mais modernos,Não considero importante,Semanalmente,Promoções e Descontos,Mensalmente,Facilidade,Bom
Alexandre Mendes,Masculino,28,Souza,RJ,Casado(a),Ensino Superior Incompleto,"R$ 3.885,54",Carro,Álcool,1332,Maior facilidade de uso,Combustível de qualidade,Qualidade do combustível,Programa de fidelidade,Importante e influencia minha escolha,Semanalmente,Formas de Pagamento,Semanalmente,Economia,Ótimo
Leonardo Rezende,Feminino,80,da Rocha,SE,Solteiro(a),Ensino Médio Incompleto,"R$ 8.783,36",Caminhão,Diesel,348,Mais funcionalidades,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Promoções e Descontos,Diariamente,Vantagens,Bom
Dr. Cauê Araújo,Masculino,77,Nascimento Grande,RN,Casado(a),Ensino Superior Incompleto,"R$ 8.600,55",Moto,Gasolina,26,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Localização,Raramente,Ambiental,Ótimo
Isaac Oliveira,Feminino,55,Barros,RR,Viúvo(a),Pós-graduação,"R$ 4.650,35",Caminhão,Diesel,4688,Mais funcionalidades,Segurança,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Preço,Raramente,Vantagens,Ruim
Kevin Ferreira,Masculino,70,Lopes Grande,PE,Casado(a),Ensino Superior Completo,"R$ 9.790,31",Caminhão,Diesel,1170,Maior facilidade de uso,Atendimento ao cliente,Localização,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Preço,Mensalmente,Ambiental,Ruim
Dr. Vitor Hugo Cavalcanti,Masculino,55,Gonçalves,AC,Viúvo(a),Ensino Médio Completo,"R$ 8.617,00",Carro,GNV,102,Mais funcionalidades,Segurança,Localização,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Preço,Diariamente,Facilidade,Bom
Srta. Ana Júlia Alves,Masculino,47,Costa,DF,Casado(a),Pós-graduação,"R$ 4.211,41",Carro,GNV,4684,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Programa de fidelidade,Importante e influencia minha escolha,Diariamente,Preço,Mensalmente,Facilidade,Ótimo
Calebe Souza,Masculino,62,Barbosa,RR,Casado(a),Ensino Médio Completo,"R$ 8.973,39",Moto,Gasolina,824,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Raramente,Preço,Raramente,Ambiental,Excelente
Luna das Neves,Feminino,58,Duarte de Santos,RR,Divorciado(a),Ensino Superior Incompleto,"R$ 6.963,95",Ônibus,Diesel,619,Mais funcionalidades,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Raramente,Indicação,Excelente
Dr. Lucas da Paz,Masculino,34,Aragão do Oeste,GO,Viúvo(a),Ensino Médio Completo,"R$ 8.468,67",Moto,Gasolina,3440,Design do aplicativo,Limpeza e organização,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Qualidade Combustível,Semanalmente,Vantagens,Bom
Gabriel Martins,Masculino,21,Novaes,AP,Viúvo(a),Ensino Superior Completo,"R$ 6.793,00",Carro,Gasolina,665,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Formas de Pagamento,Mensalmente,Economia,Excelente
Marina Sales,Feminino,20,Alves Grande,BA,Divorciado(a),Ensino Superior Completo,"R$ 5.663,13",Caminhão,Diesel,2874,Mais funcionalidades,Segurança,Localização,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Preço,Raramente,Vantagens,Ótimo
Srta. Stella Porto,Masculino,70,Pires das Flores,RJ,Casado(a),Ensino Médio Completo,"R$ 7.714,47",Ônibus,Diesel,1763,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Serviços Oferecidos,Semanalmente,Facilidade,Excelente
Isabella Farias,Masculino,56,Carvalho de Minas,SE,Casado(a),Ensino Médio Completo,"R$ 5.718,68",Caminhão,Diesel,1615,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Promoções e Descontos,Semanalmente,Facilidade,Ruim
Pietro Duarte,Masculino,47,Rocha de Freitas,SE,Viúvo(a),Pós-graduação,"R$ 9.370,38",Caminhão,Diesel,2687,Maior facilidade de uso,Limpeza e organização,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Localização,Semanalmente,Economia,Excelente
Sarah Pinto,Masculino,55,Fogaça do Amparo,RJ,Solteiro(a),Ensino Médio Completo,"R$ 5.143,45",Ônibus,Diesel,1079,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Preço,Raramente,Facilidade,Ótimo
Laura Mendes,Masculino,64,Dias,MT,Viúvo(a),Ensino Médio Completo,"R$ 2.808,14",Carro,Gasolina,3157,Design do aplicativo,Segurança,Serviços adicionais,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Serviços Oferecidos,Raramente,Vantagens,Ruim
Rebeca Pinto,Feminino,76,Jesus,SP,Solteiro(a),Ensino Superior Incompleto,"R$ 4.448,76",Moto,Gasolina,3685,Ofertas mais atraentes,Segurança,Serviços adicionais,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Preço,Raramente,Facilidade,Bom
Dra. Emanuella Alves,Masculino,36,Moreira,DF,Divorciado(a),Ensino Superior Incompleto,"R$ 9.724,71",Caminhão,Diesel,2561,Ofertas mais atraentes,Limpeza e organização,Localização,Programa de fidelidade,Importante e influencia minha escolha,Raramente,Promoções e Descontos,Raramente,Ambiental,Excelente
Stephany Moreira,Masculino,73,Rezende,MS,Solteiro(a),Ensino Superior Incompleto,"R$ 6.282,21",Ônibus,Diesel,3354,Maior facilidade de uso,Limpeza e organização,Localização,Mais opções de pagamento,Não considero importante,Semanalmente,Qualidade Combustível,Diariamente,Vantagens,Bom
João Gabriel Alves,Feminino,31,Rezende,RR,Viúvo(a),Ensino Superior Completo,"R$ 6.876,80",Moto,Gasolina,2394,Maior facilidade de uso,Atendimento ao cliente,Qualidade do combustível,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Formas de Pagamento,Mensalmente,Facilidade,Ótimo
Luiz Miguel da Costa,Masculino,35,Mendes,AL,Viúvo(a),Ensino Superior Incompleto,"R$ 3.878,61",Carro,GNV,4935,Maior facilidade de uso,Segurança,Qualidade do combustível,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Serviços Oferecidos,Semanalmente,Facilidade,Excelente
Ana Lívia Moreira,Feminino,38,Cardoso,PB,Solteiro(a),Ensino Médio Incompleto,"R$ 8.231,56",Moto,Gasolina,2616,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Postos mais modernos,Importante e influencia minha escolha,Mensalmente,Preço,Diariamente,Indicação,Ótimo
Dr. Paulo Correia,Masculino,75,Ferreira dos Dourados,PB,Divorciado(a),Ensino Superior Incompleto,"R$ 8.279,74",Carro,Álcool,986,Maior facilidade de uso,Combustível de qualidade,Localização,Mais opções de pagamento,Não considero importante,Semanalmente,Formas de Pagamento,Mensalmente,Economia,Excelente
Vitória Sales,Feminino,45,Moreira,GO,Divorciado(a),Ensino Superior Completo,"R$ 6.065,51",Caminhão,Diesel,2035,Design do aplicativo,Segurança,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Qualidade Combustível,Mensalmente,Indicação,Ruim
Eduarda da Mata,Masculino,37,Nascimento,AP,Solteiro(a),Pós-graduação,"R$ 9.203,71",Ônibus,Diesel,2336,Maior facilidade de uso,Combustível de qualidade,Localização,Mais opções de pagamento,Não considero importante,Semanalmente,Localização,Raramente,Facilidade,Excelente
Carolina Silva,Masculino,31,da Conceição,AP,Solteiro(a),Ensino Médio Completo,"R$ 4.511,46",Camionete,Diesel,321,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Formas de Pagamento,Mensalmente,Economia,Ruim
Valentina Jesus,Masculino,24,Campos da Prata,AM,Viúvo(a),Ensino Médio Incompleto,"R$ 4.863,63",Moto,Gasolina,2517,Design do aplicativo,Limpeza e organização,Serviços adicionais,Postos mais modernos,Não considero importante,Raramente,Promoções e Descontos,Mensalmente,Ambiental,Ruim
Pedro Dias,Masculino,76,Novaes,AP,Solteiro(a),Ensino Médio Incompleto,"R$ 7.451,08",Moto,Gasolina,4129,Maior facilidade de uso,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Não considero importante,Semanalmente,Preço,Mensalmente,Facilidade,Ótimo
Calebe Aragão,Masculino,77,Silveira da Prata,TO,Solteiro(a),Ensino Superior Completo,"R$ 1.819,20",Carro,GNV,191,Mais funcionalidades,Segurança,Preço,Programa de fidelidade,Não considero importante,Mensalmente,Qualidade Combustível,Mensalmente,Vantagens,Ótimo
João Vitor Castro,Feminino,44,Fernandes de Minas,ES,Solteiro(a),Pós-graduação,"R$ 9.301,81",Caminhão,Diesel,4805,Design do aplicativo,Segurança,Serviços adicionais,Mais opções de pagamento,Importante e influencia minha escolha,Raramente,Promoções e Descontos,Raramente,Vantagens,Bom
Dra. Ana Carolina da Rosa,Masculino,41,da Paz,AL,Divorciado(a),Ensino Superior Completo,"R$ 6.993,05",Moto,Gasolina,4795,Design do aplicativo,Segurança,Preço,Mais opções de pagamento,Não considero importante,Mensalmente,Formas de Pagamento,Diariamente,Vantagens,Ruim
Kevin Gonçalves,Feminino,70,Moura Grande,PR,Viúvo(a),Ensino Médio Incompleto,"R$ 9.946,13",Carro,GNV,530,Ofertas mais atraentes,Atendimento ao cliente,Localização,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Localização,Mensalmente,Vantagens,Excelente
Lucas Barros,Masculino,44,da Rocha de Nogueira,RJ,Solteiro(a),Ensino Médio Completo,"R$ 7.994,55",Ônibus,Diesel,3366,Mais funcionalidades,Atendimento ao cliente,Localização,Mais opções de pagamento,Importante e influencia minha escolha,Mensalmente,Qualidade Combustível,Mensalmente,Economia,Ótimo
Matheus Jesus,Feminino,34,Costa,AM,Viúvo(a),Ensino Médio Incompleto,"R$ 6.249,98",Moto,Gasolina,3575,Ofertas mais atraentes,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Qualidade Combustível,Diariamente,Facilidade,Excelente
Maysa da Luz,Feminino,77,Cardoso de Novaes,MA,Casado(a),Ensino Médio Incompleto,"R$ 7.156,81",Carro,Gasolina,2951,Mais funcionalidades,Segurança,Localização,Postos mais modernos,Não considero importante,Semanalmente,Qualidade Combustível,Semanalmente,Vantagens,Bom
Dra. Heloísa Melo,Feminino,19,Melo,RO,Solteiro(a),Ensino Superior Completo,"R$ 8.110,32",Caminhão,Diesel,608,Maior facilidade de uso,Segurança,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Diariamente,Localização,Diariamente,Economia,Excelente
Natália Fogaça,Feminino,75,Azevedo,MS,Divorciado(a),Ensino Médio Completo,"R$ 1.400,04",Caminhão,Diesel,2025,Maior facilidade de uso,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Promoções e Descontos,Semanalmente,Facilidade,Bom
Sra. Maria Cecília Pires,Feminino,39,da Cunha da Mata,AP,Solteiro(a),Ensino Superior Incompleto,"R$ 9.469,14",Carro,Álcool,4257,Design do aplicativo,Atendimento ao cliente,Localização,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Raramente,Qualidade Combustível,Semanalmente,Ambiental,Ruim
Beatriz Gomes,Masculino,61,da Paz,PB,Divorciado(a),Pós-graduação,"R$ 3.448,51",Carro,GNV,3844,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Qualidade Combustível,Semanalmente,Indicação,Ótimo
Stephany da Costa,Masculino,23,Teixeira Alegre,RS,Casado(a),Ensino Superior Completo,"R$ 6.653,54",Moto,Gasolina,97,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Mais opções de pagamento,Não considero importante,Diariamente,Localização,Diariamente,Facilidade,Ótimo
Lorena Correia,Masculino,49,Fogaça de Dias,TO,Casado(a),Pós-graduação,"R$ 5.641,77",Caminhão,Diesel,4993,Mais funcionalidades,Limpeza e organização,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Preço,Mensalmente,Facilidade,Bom
Augusto Fogaça,Masculino,46,Teixeira,BA,Solteiro(a),Ensino Superior Completo,"R$ 2.456,90",Carro,Álcool,4054,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Programa de fidelidade,Importante e influencia minha escolha,Diariamente,Qualidade Combustível,Semanalmente,Vantagens,Ruim
Otávio das Neves,Masculino,19,Azevedo,PI,Solteiro(a),Ensino Superior Incompleto,"R$ 4.545,36",Moto,Gasolina,2886,Design do aplicativo,Limpeza e organização,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Preço,Mensalmente,Facilidade,Ótimo
Enrico Barbosa,Masculino,66,Teixeira da Serra,ES,Viúvo(a),Ensino Médio Completo,"R$ 2.319,62",Ônibus,Diesel,3033,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Mais opções de pagamento,Não considero importante,Semanalmente,Serviços Oferecidos,Semanalmente,Facilidade,Excelente
Eduardo Barros,Feminino,61,Pereira do Amparo,AP,Casado(a),Pós-graduação,"R$ 2.814,34",Caminhão,Diesel,4454,Maior facilidade de uso,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Localização,Semanalmente,Economia,Excelente
Cauê da Mata,Feminino,69,Cardoso das Pedras,TO,Divorciado(a),Ensino Médio Completo,"R$ 9.053,11",Ônibus,Diesel,1483,Mais funcionalidades,Segurança,Qualidade do combustível,Programa de fidelidade,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Semanalmente,Indicação,Ruim
Ana Clara Duarte,Masculino,42,Freitas de Goiás,PI,Solteiro(a),Ensino Superior Incompleto,"R$ 1.592,75",Carro,Gasolina,2554,Design do aplicativo,Combustível de qualidade,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Formas de Pagamento,Diariamente,Economia,Ótimo
Luiz Otávio Ferreira,Masculino,24,Oliveira,RO,Divorciado(a),Ensino Médio Incompleto,"R$ 9.530,07",Ônibus,Diesel,2748,Mais funcionalidades,Segurança,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Semanalmente,Formas de Pagamento,Raramente,Ambiental,Ótimo
Diogo Araújo,Masculino,31,Viana de Minas,RR,Solteiro(a),Ensino Superior Incompleto,"R$ 1.680,25",Moto,Gasolina,3358,Ofertas mais atraentes,Segurança,Localização,Programa de fidelidade,Importante e influencia minha escolha,Diariamente,Serviços Oferecidos,Diariamente,Facilidade,Ruim
Pietro Costa,Feminino,50,Fernandes,PI,Viúvo(a),Pós-graduação,"R$ 5.020,82",Moto,Gasolina,747,Maior facilidade de uso,Combustível de qualidade,Qualidade do combustível,Mais opções de pagamento,Importante e influencia minha escolha,Diariamente,Serviços Oferecidos,Mensalmente,Facilidade,Ruim
Renan da Cruz,Masculino,40,Souza das Pedras,PI,Divorciado(a),Ensino Médio Incompleto,"R$ 5.692,29",Carro,Álcool,1116,Ofertas mais atraentes,Limpeza e organização,Preço,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Localização,Raramente,Facilidade,Excelente
Lucas Nunes,Masculino,72,Ferreira,MG,Casado(a),Ensino Médio Completo,"R$ 4.672,76",Caminhão,Diesel,966,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Programa de fidelidade,Não considero importante,Semanalmente,Localização,Semanalmente,Ambiental,Ruim
Lara Castro,Feminino,69,Costa,RO,Divorciado(a),Ensino Médio Completo,"R$ 4.060,19",Ônibus,Diesel,4470,Ofertas mais atraentes,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Promoções e Descontos,Diariamente,Ambiental,Excelente
Catarina Farias,Feminino,50,Fernandes de Goiás,AP,Solteiro(a),Ensino Médio Completo,"R$ 6.643,90",Ônibus,Diesel,2647,Design do aplicativo,Combustível de qualidade,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Mensalmente,Localização,Semanalmente,Vantagens,Excelente
Stella da Rocha,Masculino,22,Sales,PI,Casado(a),Pós-graduação,"R$ 8.156,25",Moto,Gasolina,4457,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Preço,Raramente,Vantagens,Bom
Sophie Farias,Masculino,60,Carvalho,PI,Divorciado(a),Ensino Médio Incompleto,"R$ 3.091,65",Ônibus,Diesel,1348,Design do aplicativo,Atendimento ao cliente,Preço,Postos mais modernos,Não considero importante,Semanalmente,Serviços Oferecidos,Mensalmente,Economia,Ótimo
