"pessoa
nome","pessoa
idade","pessoa
genero","pessoa
etinia","pessoa
pcd","pessoa
estado civil","pessoa
escolaridade","pessoa
cidade","pessoa
estado ","pessoa
renda","veiculo
tipo","veiculo
combustivel","veiculo
km_mes","veiculo
abastecimento"
Emilly Monteiro,72,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Incompleto,Campo Grande,MS,"R$ 4.648,62",Moto,Gasolina,4272,Diária
Emilly Peixoto,45,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Uberlândia,MG,"R$ 4.437,24",Caminhão,Diesel,36,Diária
Emilly Rodrigues,26,Feminino Transgênero,Amarelo(a),Não,Solteiro(a),Pós-graduação,Montes Claros,MG,"R$ 6.073,49",Carro,Álcool,4622,Quinzenal
Enrico Araújo,34,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Rio de Janeiro,AL,"R$ 8.370,89",Ônibus,Diesel,1814,Diária
Enrico Barbosa,66,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 2.319,62",Ônibus,Diesel,3033,Semanal
Enrico da Mata,75,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 8.426,29",Caminhão,Diesel,2421,Diária
Enrico Fernandes,79,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Incompleto,São José do Campos,SP,"R$ 7.232,98",Moto,Gasolina,4846,Diária
Enrico Ferreira,58,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Campo Grande,MS,"R$ 7.174,34",Caminhão,Diesel,2710,Diária
Enrico Pereira,32,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Santos,SP,"R$ 3.294,28",Carro,GNV,1082,Quinzenal
Enzo Barbosa,45,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,São Paulo,SP,"R$ 6.764,33",Moto,Gasolina,3912,Diária
Enzo Costa,32,Masculino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.663,34",Carro,Gasolina,2414,Quinzenal
Enzo da Paz,77,Masculino Cisgênero,Preto(a),Sim,Casado(a),Ensino Básico Completo,Maringá,PR,"R$ 2.644,82",Ônibus,Diesel,1766,Quinzenal
Enzo Gabriel Costa,70,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Básico Incompleto,Florianópolis,SC,"R$ 2.517,61",Carro,GNV,4866,Semanal
Enzo Gabriel Pinto,72,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Florianópolis,SC,"R$ 9.274,86",Caminhonete,Diesel,1518,Quinzenal
Enzo Gabriel Porto,66,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,São João de Meriti,RJ,"R$ 8.080,08",Moto,Gasolina,4730,Semanal
Enzo Gabriel Ribeiro,40,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Florianópolis,SC,"R$ 9.464,84",Caminhão,Diesel,3806,Quinzenal
Enzo Gabriel Santos,72,Masculino Cisgênero,Indígena,Não,Viúvo(a),Pós-graduação,Contagem,MG,"R$ 2.914,37",Moto,Gasolina,2062,Quinzenal
Enzo Gabriel Silva,80,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Santarém ,PA,"R$ 8.997,95",Ônibus,Diesel,3785,Diária
Erick Cardoso,21,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 6.503,68",Ônibus,Diesel,2192,Semanal
Erick da Conceição,54,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Curitiba,PR,"R$ 8.158,44",Ônibus,Diesel,3592,Diária
Erick da Luz,19,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Manaus,AM,"R$ 3.737,94",Moto,Gasolina,2952,Mensal
Erick Dias,42,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,Bauru,SP,"R$ 6.262,51",Caminhão,Diesel,4057,Semanal
Erick Jesus,21,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Básico Completo,Salvador,BA,"R$ 2.822,50",Moto,Gasolina,2915,Diária
Erick Melo,49,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Manaus,AM,"R$ 2.685,81",Caminhão,Diesel,2555,Diária
Erick Pereira,79,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 4.056,80",Moto,Gasolina,2907,Semanal
Esther da Paz,64,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Santos,SP,"R$ 8.109,72",Moto,Gasolina,4676,Semanal
Esther das Neves,80,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Básico Incompleto,São Paulo,SP,"R$ 1.907,68",Carro,GNV,2354,Quinzenal
Esther Moura,73,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Porto Velho,RO,"R$ 6.642,14",Caminhão,Diesel,558,Quinzenal
Esther Nascimento,47,Feminino Cisgênero,Indígena,Não,Viúvo(a),Pós-graduação,São José do Rio Preto,SP,"R$ 6.401,94",Moto,Gasolina,4560,Diária
Esther Porto,20,Feminino Cisgênero,Indígena,Sim,Casado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 7.664,44",Ônibus,Diesel,1936,Semanal
Esther Vieira,78,Feminino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Incompleto,Rio Branco ,AC,"R$ 3.116,77",Carro,GNV,36,Semanal
Evelyn Almeida,49,Feminino Cisgênero,Pardo(a),Sim,Casado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 9.944,58",Ônibus,Diesel,300,Diária
Evelyn Costa,65,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Pós-graduação,Vila Velha,ES,"R$ 6.816,47",Caminhão,Diesel,4206,Diária
Evelyn da Costa,72,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Completo,Recife,PE,"R$ 6.786,16",Ônibus,Diesel,4237,Semanal
Evelyn Farias,30,Feminino Transgênero,Preto(a),Sim,Divorciado(a),Ensino Médio Completo,Santos,SP,"R$ 8.163,42",Ônibus,Diesel,4631,Semanal
Evelyn Ferreira,67,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Piracicaba,SP,"R$ 8.067,51",Ônibus,Diesel,4112,Quinzenal
Evelyn Moraes,46,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Médio Completo,Recife,PE,"R$ 6.605,91",Ônibus,Diesel,2091,Quinzenal
Felipe Aragão,53,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Duque de Caxias,RJ,"R$ 2.271,32",Moto,Gasolina,350,Mensal
Felipe Barbosa,51,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 8.563,51",Ônibus,Diesel,901,Semanal
Felipe Lopes,39,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Contagem,MG,"R$ 6.202,04",Carro,Gasolina,2614,Diária
Felipe Rocha,39,Masculino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Belo Horizonte,SC,"R$ 6.231,49",Caminhão,Diesel,2269,Eventual
Felipe Rosa,38,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 5.001,48",Caminhão,Diesel,2213,Diária
Felipe Souza,59,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,Belém do Pará,PA,"R$ 8.865,04",Moto,Gasolina,1182,Mensal
Fernanda Cardoso,49,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 8.550,38",Moto,Gasolina,3695,Semanal
Fernanda Lopes,66,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Vitória,ES,"R$ 3.731,33",Caminhão,Diesel,4020,Quinzenal
Fernanda Mendes,51,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Uberlândia,MG,"R$ 6.679,12",Caminhonete,Diesel,2710,Semanal
Fernanda Rezende,58,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Pós-graduação,Londrina,PR,"R$ 8.287,17",Carro,Álcool,2177,Diária
Fernanda Sales,72,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Pós-graduação,São José do Rio Preto,SP,"R$ 3.648,16",Carro,GNV,2648,Diária
Fernando Alves,21,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Médio Incompleto,Recife,PE,"R$ 4.503,14",Ônibus,Diesel,1530,Quinzenal
Fernando Lima,45,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Campo Grande,MS,"R$ 6.672,33",Ônibus,Diesel,1200,Quinzenal
Francisco Araújo,31,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,Salvador,BA,"R$ 9.085,98",Caminhão,Diesel,3579,Diária
Francisco Araújo,26,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Pós-graduação,Bauru,SP,"R$ 9.494,94",Carro,GNV,1538,Quinzenal
Gabriel Cardoso,40,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Incompleto,Recife,PE,"R$ 3.930,53",Ônibus,Diesel,2644,Diária
Gabriel Martins,21,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Santarém ,PA,"R$ 6.793,00",Carro,Gasolina,665,Diária
Gabriel Nogueira,21,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Florianópolis,SC,"R$ 6.075,04",Caminhão,Diesel,3445,Semanal
Gabriela Castro,66,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,AL,"R$ 3.204,04",Carro,Gasolina,745,Mensal
Gabriela da Cruz,31,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,AL,"R$ 4.684,82",Carro,Gasolina,4949,Diária
Gabriela da Mota,50,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Superior Completo,Maceió,AL,"R$ 6.540,29",Moto,Gasolina,3085,Diária
Gabriela Rodrigues,76,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,São José do Rio Preto,SP,"R$ 1.423,84",Moto,Gasolina,2461,Semanal
Gabrielly Alves,28,Feminino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Natal,RN,"R$ 7.991,73",Carro,Gasolina,4733,Quinzenal
Gabrielly Correia,35,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Minas Gerais,MG,"R$ 8.799,26",Moto,Gasolina,3435,Mensal
Gabrielly da Rosa,74,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,AL,"R$ 7.980,05",Caminhão,Diesel,192,Diária
Gabrielly Monteiro,20,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Completo,Goiânia,GO,"R$ 9.224,61",Caminhão,Diesel,3485,Diária
Gabrielly Moreira,59,Feminino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Superior Incompleto,Florianópolis,SC,"R$ 3.645,78",Moto,Gasolina,3432,Quinzenal
Gabrielly Silveira,24,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Incompleto,Maceió,AL,"R$ 7.554,34",Moto,Gasolina,3887,Mensal
Giovanna Campos,25,Feminino Transgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,Duque de Caxias,RJ,"R$ 2.120,42",Caminhão,Diesel,2632,Mensal
Giovanna Gonçalves,64,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Nova Iguaçu,RJ,"R$ 9.959,89",Carro,GNV,3954,Diária
Giovanna Pereira,20,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Maringá,PR,"R$ 4.558,01",Carro,Álcool,1442,Quinzenal
Giovanna Rodrigues,49,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Manaus,AM,"R$ 2.501,88",Carro,GNV,2124,Quinzenal
Guilherme Costa,73,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Incompleto,Caruaru,PE,"R$ 3.625,37",Caminhonete,Diesel,2500,Semanal
Guilherme da Cruz,21,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Vitória,ES,"R$ 8.059,02",Ônibus,Diesel,4310,Mensal
Guilherme Farias,37,Feminino Transgênero,Branco(a),Não,Divorciado(a),Pós-graduação,São José do Campos,SP,"R$ 6.586,70",Caminhão,Diesel,2576,Mensal
Guilherme Peixoto,44,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Fortaleza,CE,"R$ 3.404,39",Caminhonete,Diesel,4593,Quinzenal
Guilherme Silveira,61,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 2.812,78",Moto,Gasolina,1532,Semanal
Gustavo Alves,70,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Caruaru,PE,"R$ 5.906,94",Caminhão,Diesel,2991,Diária
Gustavo Azevedo,37,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Palmas,TO,"R$ 4.395,85",Ônibus,Diesel,3378,Mensal
Gustavo Henrique Barros,62,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 3.401,49",Moto,Gasolina,3100,Diária
Gustavo Henrique Duarte,51,Masculino Cisgênero,Indígena,Sim,Casado(a),Ensino Superior Completo,Campinas,SP,"R$ 7.596,85",Ônibus,Diesel,1896,Quinzenal
Gustavo Henrique Ferreira,26,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Incompleto,Belém do Pará,PA,"R$ 6.950,26",Ônibus,Diesel,2449,Mensal
Gustavo Henrique Melo,56,Masculino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Médio Incompleto,Franca,SP,"R$ 8.714,68",Caminhão,Diesel,431,Quinzenal
Gustavo Henrique Silveira,35,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Pelotas,RS,"R$ 8.513,56",Carro,Álcool,4027,Diária
Gustavo Moura,31,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Vila Velha,ES,"R$ 5.461,40",Moto,Gasolina,4826,Semanal
Gustavo Rezende,76,Masculino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Florianópolis,SC,"R$ 8.434,61",Ônibus,Diesel,3601,Semanal
Gustavo Vieira,63,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Londrina,PR,"R$ 5.626,23",Carro,Álcool,307,Mensal
Heitor Alves,64,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Incompleto,Caxias do Sul,RS,"R$ 4.467,08",Ônibus,Diesel,3050,Diária
Heitor Costa,67,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Superior Completo,Goiânia,GO,"R$ 7.801,28",Ônibus,Diesel,89,Quinzenal
Heitor da Conceição,41,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Uberlândia,MG,"R$ 2.363,76",Carro,Álcool,2013,Quinzenal
Heitor da Cunha,59,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Incompleto,São José do Rio Preto,SP,"R$ 8.583,29",Caminhão,Diesel,2351,Mensal
Heitor Martins,28,Masculino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Completo,Santarém ,PA,"R$ 5.838,25",Moto,Gasolina,4687,Semanal
Heitor Teixeira,69,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Natal,RN,"R$ 7.630,85",Caminhão,Diesel,4489,Quinzenal
Helena Cardoso,67,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 4.171,06",Moto,Gasolina,3737,Semanal
Helena Ferreira,26,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,São Luís,CE,"R$ 2.799,12",Moto,Gasolina,2307,Mensal
Helena Peixoto,27,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Vitória,ES,"R$ 1.432,46",Caminhonete,Diesel,4323,Mensal
Heloísa Caldeira,63,Outros,Indígena,Sim,Divorciado(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 2.796,56",Caminhonete,Diesel,4203,Semanal
Heloísa Cavalcanti,24,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 3.593,96",Carro,Gasolina,530,Mensal
Heloísa Melo,19,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 8.110,32",Caminhão,Diesel,608,Diária
Heloísa Peixoto,59,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Básico Incompleto,Palmas,TO,"R$ 2.206,12",Caminhão,Diesel,3438,Quinzenal
Henrique Almeida,67,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Manaus,AM,"R$ 1.586,93",Ônibus,Diesel,4727,Semanal
Henrique da Costa,27,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,Caruaru,PE,"R$ 4.635,94",Caminhão,Diesel,1299,Semanal
Henrique da Cruz,46,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Uberlândia,MG,"R$ 8.850,61",Moto,Gasolina,4241,Diária
Henrique Oliveira,79,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 4.549,15",Ônibus,Diesel,2915,Mensal
Ian Cavalcanti,57,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Piracicaba,SP,"R$ 3.114,04",Ônibus,Diesel,1269,Quinzenal
Ian da Luz,67,Masculino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Pelotas,RS,"R$ 2.769,23",Ônibus,Diesel,327,Mensal
Ian Nogueira,30,Outros,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Santos,SP,"R$ 4.733,69",Moto,Gasolina,4572,Diária
Ian Ramos,50,Masculino Cisgênero,Indígena,Não,Divorciado(a),Ensino Médio Incompleto,Manaus,AM,"R$ 8.455,43",Ônibus,Diesel,998,Diária
Igor Almeida,38,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Palmas,TO,"R$ 5.565,37",Carro,Álcool,1881,Semanal
Igor da Rosa,54,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Superior Completo,Santarém ,PA,"R$ 3.697,53",Ônibus,Diesel,3299,Semanal
Igor Oliveira,28,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 7.508,65",Carro,Álcool,4066,Diária
Isaac Cardoso,19,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Belo Horizonte,SC,"R$ 6.404,09",Carro,Gasolina,2696,Diária
Isaac Costela,30,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Básico Completo,Santarém ,PA,"R$ 9.536,52",Carro,GNV,4255,Quinzenal
Isaac Oliveira,55,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Pós-graduação,Fortaleza,CE,"R$ 4.650,35",Caminhão,Diesel,4688,Diária
Isaac Rodrigues,40,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Superior Completo,Maceió,AL,"R$ 8.211,97",Carro,GNV,4352,Mensal
Isabel Cardoso,27,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Médio Incompleto,Florianópolis,SC,"R$ 8.279,19",Caminhão,Diesel,1744,Semanal
Isabel Cavalcanti,46,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Completo,Nova Iguaçu,RJ,"R$ 5.033,32",Ônibus,Diesel,1538,Semanal
Isabel Gonçalves,38,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Jundiaí,SP,"R$ 3.419,79",Ônibus,Diesel,4240,Mensal
Isabel Porto,67,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Caxias do Sul,RS,"R$ 7.199,90",Moto,Gasolina,826,Semanal
Isabel Rodrigues,61,Outros,Preto(a),Sim,Divorciado(a),Ensino Médio Completo,Piracicaba,SP,"R$ 2.905,45",Carro,Gasolina,4583,Mensal
Isabella Farias,56,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 5.718,68",Caminhão,Diesel,1615,Quinzenal
Isabella Moura,31,Feminino Transgênero,Branco(a),Não,Casado(a),Ensino Superior Incompleto,Campinas,SP,"R$ 7.024,83",Carro,Álcool,2614,Diária
Isabella Pereira,22,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Completo,Natal,RN,"R$ 4.815,22",Ônibus,Diesel,2393,Diária
Isabelly Costela,49,Feminino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Completo,Recife,PE,"R$ 7.047,02",Ônibus,Diesel,698,Eventual
Isabelly Ferreira,33,Feminino Transgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,São Bernardo do Campo,SP,"R$ 7.273,82",Ônibus,Diesel,3312,Quinzenal
Isabelly Melo,79,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Médio Incompleto,Duque de Caxias,RJ,"R$ 7.681,78",Moto,Gasolina,4083,Mensal
Isabelly Moraes,51,Feminino Cisgênero,Preto(a),Não,Casado(a),Ensino Médio Completo,Jundiaí,SP,"R$ 3.435,23",Carro,GNV,265,Semanal
Isabelly Porto,48,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,Recife,PE,"R$ 3.338,25",Carro,GNV,575,Diária
Isadora Azevedo,26,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Londrina,PR,"R$ 1.520,00",Caminhão,Diesel,1938,Semanal
Isadora Campos,20,Feminino Transgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Franca,SP,"R$ 8.077,28",Caminhão,Diesel,4856,Mensal
Isadora Cardoso,23,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Maringá,PR,"R$ 8.292,25",Ônibus,Diesel,2744,Mensal
Isadora Carvalho,65,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Recife,PE,"R$ 7.799,55",Ônibus,Diesel,4026,Semanal
Isadora Cavalcanti,28,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 7.334,59",Ônibus,Diesel,1763,Semanal
Isadora Mendes,51,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Pós-graduação,São José do Campos,SP,"R$ 4.727,36",Carro,Álcool,4637,Semanal
Isadora Nascimento,66,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Pelotas,RS,"R$ 1.906,66",Caminhão,Diesel,4670,Semanal
Isadora Pinto,49,Feminino Cisgênero,Pardo(a),Sim,Casado(a),Ensino Médio Incompleto,Duque de Caxias,RJ,"R$ 1.583,24",Carro,Gasolina,2951,Diária
Isis Caldeira,25,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Vitória,ES,"R$ 2.725,42",Caminhonete,Diesel,4878,Mensal
Isis Moura,67,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Pós-graduação,Belém do Pará,PA,"R$ 6.722,36",Moto,Gasolina,1784,Mensal
Isis Ribeiro,58,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,São José do Rio Preto,SP,"R$ 1.640,10",Caminhonete,Diesel,3652,Diária
Isis Silva,58,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Completo,Taubaté ,SP,"R$ 1.805,69",Carro,Álcool,1081,Diária
Isis Viana,77,Outros,Indígena,Sim,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,AL,"R$ 7.170,36",Moto,Gasolina,2239,Quinzenal
Joana Cavalcanti,21,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,Pelotas,RS,"R$ 9.315,39",Moto,Gasolina,4963,Eventual
Joana da Conceição,50,Feminino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Belém do Pará,PA,"R$ 7.198,84",Carro,Álcool,399,Quinzenal
João Almeida,78,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Básico Completo,Goiânia,GO,"R$ 1.827,20",Caminhão,Diesel,3586,Mensal
João Caldeira,68,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,São José do Rio Preto,SP,"R$ 8.986,40",Ônibus,Diesel,3131,Mensal
João da Mata,35,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Completo,Santarém ,PA,"R$ 7.106,63",Ônibus,Diesel,2554,Mensal
João da Paz,65,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Taubaté ,SP,"R$ 6.375,36",Moto,Gasolina,4262,Semanal
João Farias,39,Masculino Cisgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 2.529,42",Ônibus,Diesel,1297,Diária
João Felipe Araújo,75,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Completo,Rio de Janeiro,AL,"R$ 9.342,37",Moto,Gasolina,2666,Mensal
João Felipe Cardoso,62,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Salvador,BA,"R$ 3.523,93",Carro,GNV,3095,Semanal
João Felipe da Cunha,79,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Natal,RN,"R$ 4.908,89",Carro,Gasolina,188,Diária
João Felipe Pinto,72,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Palmas,TO,"R$ 3.815,28",Ônibus,Diesel,3456,Semanal
João Felipe Silveira,70,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Maceió,AL,"R$ 9.843,62",Caminhão,Diesel,816,Semanal
João Fernandes,79,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 8.609,87",Ônibus,Diesel,3321,Quinzenal
João Gabriel Alves,18,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,Recife,PE,"R$ 9.734,49",Carro,Álcool,190,Semanal
João Gabriel Alves,31,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 6.876,80",Moto,Gasolina,2394,Diária
João Gabriel Cardoso,71,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Médio Incompleto,Santa Maria,MS,"R$ 5.894,41",Moto,Gasolina,3957,Diária
